Shop,Date,KPI,Value,MoM_%,YoY_%
Aksarben Village,2022-10-01,net_revenue,38009.0,-4.67484262533544,35.53828049780694
Aksarben Village,2022-11-01,net_revenue,44639.0,17.44323712804863,50.99617765450055
Aksarben Village,2022-12-01,net_revenue,53708.0,20.316315329644485,60.75426519006286
Aksarben Village,2023-01-01,net_revenue,49615.0,-7.620838608773372,114.34743163260896
Aksarben Village,2023-02-01,net_revenue,47367.0,-4.530887836339814,72.54480547865366
Aksarben Village,2023-03-01,net_revenue,60798.0,28.355183988852993,103.82861740646372
Aksarben Village,2023-04-01,net_revenue,59290.0,-2.480344748182506,105.5682684973303
Aksarben Village,2023-05-01,net_revenue,59716.0,0.7185022769438332,94.76207560092627
Aksarben Village,2023-06-01,net_revenue,61725.0,3.3642574854310325,85.50519925467333
Aksarben Village,2023-07-01,net_revenue,48964.0,-20.673957067638714,42.54854580919387
Aksarben Village,2023-08-01,net_revenue,59143.0,20.788742749775334,66.48275862068967
Aksarben Village,2023-09-01,net_revenue,59375.0,0.39226958388989264,48.910290171293866
Aksarben Village,2023-10-01,net_revenue,56171.0,-5.396210526315793,47.78341971638296
Aksarben Village,2023-11-01,net_revenue,58099.0,3.432376137152615,30.153005219650986
Aksarben Village,2023-12-01,net_revenue,65042.0,11.950291743403497,21.103001415059207
Aksarben Village,2024-01-01,net_revenue,49194.0,-24.365794409765996,-0.8485337095636369
Aksarben Village,2024-02-01,net_revenue,62816.0,27.6903687441558,32.615534021576195
Aksarben Village,2024-03-01,net_revenue,51729.0,-17.64996179317372,-14.916609098983525
Aksarben Village,2024-04-01,net_revenue,56522.0,9.265595700670804,-4.66857817507168
Aksarben Village,2024-05-01,net_revenue,59790.0,5.78181946852554,0.12391988746733862
Aksarben Village,2024-06-01,net_revenue,54144.0,-9.4430506773708,-12.281895504252738
Aksarben Village,2024-07-01,net_revenue,57918.0,6.970301418439706,18.286904664651573
Aksarben Village,2024-08-01,net_revenue,60167.0,3.883076073068814,1.7313967840657307
Aksarben Village,2024-09-01,net_revenue,62799.0,4.374491000049852,5.766736842105269
Aksarben Village,2024-10-01,net_revenue,62081.0,-1.1433303078074442,10.521443449466815
Aksarben Village,2024-11-01,net_revenue,64833.0,4.432918284177134,11.590560939086725
Aksarben Village,2024-12-01,net_revenue,63765.0,-1.647309240664474,-1.9633467605547184
Aksarben Village,2025-01-01,net_revenue,71072.0,11.459264486787424,44.472903199577175
Aksarben Village,2025-02-01,net_revenue,67994.0,-4.330819450697887,8.243122771268464
Aksarben Village,2025-03-01,net_revenue,67101.0,-1.313351178045119,29.716406657774176
Aksarben Village,2025-04-01,net_revenue,,0.0,18.71660592335729
Aksarben Village,2025-05-01,net_revenue,,0.0,12.227797290516818
Aksarben Village,2025-06-01,net_revenue,,0.0,23.930629432624116
Aksarben Village,2025-07-01,net_revenue,,0.0,15.8551745571325
Aksarben Village,2025-08-01,net_revenue,,0.0,11.52458989146874
Aksarben Village,2025-09-01,net_revenue,,0.0,6.850427554578897
Aksarben Village,2025-10-01,net_revenue,,0.0,8.086209951514967
Aksarben Village,2025-11-01,net_revenue,,0.0,3.498218499838046
Aksarben Village,2025-12-01,net_revenue,,0.0,5.231710185838634
Aksarben Village,2021-01-01,new_client_retention,,,
Aksarben Village,2021-02-01,new_client_retention,,,
Aksarben Village,2021-03-01,new_client_retention,,,
Aksarben Village,2021-04-01,new_client_retention,0.35,,
Aksarben Village,2021-05-01,new_client_retention,0.38,8.571428571428585,
Aksarben Village,2021-06-01,new_client_retention,0.32,-15.789473684210531,
Aksarben Village,2021-07-01,new_client_retention,0.33,3.125,
Aksarben Village,2021-08-01,new_client_retention,0.29,-12.121212121212132,
Aksarben Village,2021-09-01,new_client_retention,0.2,-31.034482758620683,
Aksarben Village,2021-10-01,new_client_retention,0.27,35.00000000000001,
Aksarben Village,2021-11-01,new_client_retention,0.29,7.407407407407396,
Aksarben Village,2021-12-01,new_client_retention,0.29,0.0,
Aksarben Village,2022-01-01,new_client_retention,0.4,37.93103448275863,
Aksarben Village,2022-02-01,new_client_retention,0.33,-17.500000000000004,
Aksarben Village,2022-03-01,new_client_retention,0.38,15.151515151515138,
Aksarben Village,2022-04-01,new_client_retention,0.26,-31.57894736842105,-25.71428571428571
Aksarben Village,2022-05-01,new_client_retention,0.26,0.0,-31.57894736842105
Aksarben Village,2022-06-01,new_client_retention,0.31,19.23076923076923,-3.125
Aksarben Village,2022-07-01,new_client_retention,0.23,-25.806451612903224,-30.303030303030297
Aksarben Village,2022-08-01,new_client_retention,0.24,4.347826086956519,-17.24137931034483
Aksarben Village,2022-09-01,new_client_retention,0.32,33.33333333333335,59.999999999999986
Aksarben Village,2022-10-01,new_client_retention,0.33,3.125,22.22222222222221
Aksarben Village,2022-11-01,new_client_retention,0.2610837438,-20.88371400000001,-9.97112282758621
Aksarben Village,2022-12-01,new_client_retention,0.2640692641,1.1435106056572497,-8.941633068965515
Aksarben Village,2023-01-01,new_client_retention,0.094,-64.40327869266783,-76.5
Aksarben Village,2023-02-01,new_client_retention,0.082,-12.765957446808507,-75.15151515151514
